TractFIPS,variable,value,year
13121001001,BINGE_CrudePrev,25.5,2020
13121001002,BINGE_CrudePrev,27.5,2020
13121001100,BINGE_CrudePrev,25.7,2020
13121001201,BINGE_CrudePrev,26.4,2020
13121001202,BINGE_CrudePrev,27.8,2020
13121001300,BINGE_CrudePrev,25.7,2020
13121001400,BINGE_CrudePrev,26.8,2020
13121001500,BINGE_CrudePrev,25.6,2020
13121001600,BINGE_CrudePrev,27.9,2020
13121001700,BINGE_CrudePrev,21.7,2020
13121001800,BINGE_CrudePrev,19.6,2020
13121001900,BINGE_CrudePrev,24.3,2020
13121002100,BINGE_CrudePrev,17.6,2020
13121002300,BINGE_CrudePrev,13.0,2020
13121002400,BINGE_CrudePrev,12.7,2020
13121002500,BINGE_CrudePrev,15.2,2020
13121002600,BINGE_CrudePrev,15.2,2020
13121002800,BINGE_CrudePrev,20.2,2020
13121002900,BINGE_CrudePrev,22.3,2020
13121003000,BINGE_CrudePrev,26.2,2020
13121003100,BINGE_CrudePrev,22.9,2020
13121003200,BINGE_CrudePrev,27.4,2020
13121003500,BINGE_CrudePrev,19.6,2020
13121003600,BINGE_CrudePrev,16.8,2020
13121003800,BINGE_CrudePrev,21.3,2020
13121003900,BINGE_CrudePrev,14.0,2020
13121004000,BINGE_CrudePrev,13.1,2020
13121004100,BINGE_CrudePrev,14.8,2020
13121004200,BINGE_CrudePrev,12.6,2020
13121004300,BINGE_CrudePrev,15.8,2020
13121004400,BINGE_CrudePrev,13.7,2020
13121004800,BINGE_CrudePrev,14.0,2020
13121004900,BINGE_CrudePrev,21.3,2020
13121005000,BINGE_CrudePrev,24.1,2020
13121005200,BINGE_CrudePrev,24.2,2020
13121005300,BINGE_CrudePrev,24.0,2020
13121005501,BINGE_CrudePrev,16.3,2020
13121005502,BINGE_CrudePrev,13.5,2020
13121005700,BINGE_CrudePrev,13.7,2020
13121005800,BINGE_CrudePrev,14.7,2020
13121006000,BINGE_CrudePrev,13.8,2020
13121006100,BINGE_CrudePrev,12.5,2020
13121006200,BINGE_CrudePrev,14.8,2020
13121006300,BINGE_CrudePrev,14.2,2020
13121006400,BINGE_CrudePrev,16.6,2020
13121006500,BINGE_CrudePrev,14.8,2020
13121006601,BINGE_CrudePrev,15.4,2020
13121006602,BINGE_CrudePrev,12.6,2020
13121006700,BINGE_CrudePrev,14.4,2020
13121006801,BINGE_CrudePrev,25.3,2020
13121006802,BINGE_CrudePrev,11.9,2020
13121006900,BINGE_CrudePrev,21.0,2020
13121007001,BINGE_CrudePrev,13.3,2020
13121007002,BINGE_CrudePrev,15.8,2020
13121007100,BINGE_CrudePrev,12.7,2020
13121007200,BINGE_CrudePrev,13.5,2020
13121007300,BINGE_CrudePrev,13.1,2020
13121007400,BINGE_CrudePrev,12.7,2020
13121007500,BINGE_CrudePrev,13.1,2020
13121007602,BINGE_CrudePrev,12.5,2020
13121007603,BINGE_CrudePrev,11.5,2020
13121007604,BINGE_CrudePrev,12.9,2020
13121007703,BINGE_CrudePrev,13.2,2020
13121007704,BINGE_CrudePrev,14.1,2020
13121007705,BINGE_CrudePrev,11.8,2020
13121007706,BINGE_CrudePrev,15.2,2020
13121007802,BINGE_CrudePrev,13.7,2020
13121007805,BINGE_CrudePrev,14.6,2020
13121007806,BINGE_CrudePrev,13.6,2020
13121007807,BINGE_CrudePrev,12.6,2020
13121007808,BINGE_CrudePrev,12.4,2020
13121007900,BINGE_CrudePrev,12.9,2020
13121008000,BINGE_CrudePrev,12.8,2020
13121008101,BINGE_CrudePrev,11.5,2020
13121008102,BINGE_CrudePrev,12.5,2020
13121008201,BINGE_CrudePrev,11.7,2020
13121008202,BINGE_CrudePrev,12.2,2020
13121008301,BINGE_CrudePrev,12.1,2020
13121008302,BINGE_CrudePrev,11.7,2020
13121008400,BINGE_CrudePrev,12.4,2020
13121008500,BINGE_CrudePrev,12.7,2020
13121008601,BINGE_CrudePrev,12.3,2020
13121008602,BINGE_CrudePrev,14.7,2020
13121008700,BINGE_CrudePrev,13.9,2020
13121008800,BINGE_CrudePrev,24.6,2020
