TractFIPS,interDen,sidewalkDen,stopDen,aadt_sum_2017,aadt_avg_2017,ht_ami_2017,h_ami_2017,t_ami_2017,co2_hh_2017,autos_hh_ami_2017,vmt_hh_ami_2017,transit_trips_ami_2017,inter_ct,blk_avg_sqmi,sidewalk_sum_ft,stop_ct,area_sqmi
13121009200,38.78490445,3.312545357,38.78490445,678360,37686.66667,43,26,17,5.51,1.35,14672,459,122,0.02401534,23900.59765,53,1.366511037
13121001500,77.7598224,12.69299351,77.7598224,74120,18530,45,27,18,5.5,1.43,15253,375,84,0.00505152,29303.63515,34,0.437243797
13121002300,36.70134176,15.79338616,36.70134176,11100,5550,36,18,18,4.81,1.45,15523,370,106,0.00616374,36353.57106,16,0.435951364
13121011800,71.16384349,12.33537482,71.16384349,112370,14046.25,33,17,16,3,1.28,12470,472,177,0.00464648,47591.57545,52,0.730708144
13121011900,128.8692323,48.34213181,128.8692323,501240,27846.66667,35,20,14,4.26,1.07,12086,697,212,0.00428126,148549.64,75,0.581985309
13121012000,75.37555906,11.19830019,75.37555906,1025640,33085.16129,32,15,17,5.32,1.34,14860,465,174,0.00493121,52556.94891,67,0.888882296
13121006802,14.27308673,10.22129603,14.27308673,7470,7470,34,16,18,NA,1.44,17556,204,30,0.04788691,15124.52822,4,0.280247719
13121006200,27.38646441,1.613279957,27.38646441,5990,1996.666667,38,18,20,7.15,1.59,17130,377,62,0.00876099,3421.371539,11,0.401658273
13121006500,22.89504196,1.742956347,22.89504196,21840,7280,46,24,22,8.19,1.73,19428,323,164,0.01181954,11656.73297,29,1.266649786
13089020802,76.51600343,0.119033939,76.51600343,57640,11528,49,28,21,7.72,1.69,19001,183,155,0,665.3303444,81,1.058602075
13089020300,4.006388844,21.02709961,4.006388844,36260,7252,63,42,21,7.88,1.67,18535,222,122,0,83134.50445,3,0.748804002
13089020600,35.08569016,6.619955775,35.08569016,9200,9200,45,26,19,6.28,1.51,16628,346,58,0,14943.42358,15,0.427524724
13121001002,39.65620322,43.18634251,39.65620322,125050,12505,40,24,16,2.92,1.2,11921,815,94,0.0134069,155250.4405,27,0.680851867
13121001202,139.9333832,49.98162448,139.9333832,56200,18733.33333,44,29,15,4.55,1.1,13625,800,54,0.00558885,49033.86923,26,0.185802697
