housing_total,housing_pc_vacant,housing_pc_owneroccupied,housing_pc_renteroccupied,housing_medval,housing_medgrossrent,housing_pc_renttoinc_3034,housing_pc_renttoinc_over35,TractFIPS
2581.0,6.5,51.1,48.9,89300.0,960.0,3.3,50.3,13121007806
2501.0,22.4,60.7,39.3,113900.0,1131.0,3.5,59.8,13121008000
2028.0,41.5,29.8,70.2,93800.0,673.0,15.6,40.4,13121008400
653.0,7.8,25.1,74.9,149300.0,1028.0,29.7,52.5,13121008602
2337.0,3.8,47.8,52.2,727200.0,1455.0,5.6,30.7,13121009000
2662.0,5.4,59.7,40.3,523800.0,1191.0,6.0,41.4,13121009300
3175.0,9.2,13.1,86.9,345700.0,1576.0,8.6,34.8,13121009402
762.0,2.6,97.2,2.8,703900.0,-666666666.0,0.0,100.0,13121010107
5667.0,8.8,86.8,13.2,226700.0,1251.0,12.3,23.3,13121010304
1844.0,17.7,17.7,82.3,155600.0,886.0,12.1,50.1,13121010603
164.0,0.0,0.0,100.0,-666666666.0,364.0,11.6,11.6,13121003700
1507.0,34.6,40.6,59.4,112100.0,992.0,9.7,58.3,13121002400
2190.0,0.4,99.0,1.0,495600.0,-666666666.0,0.0,0.0,13089021214
3770.0,7.4,43.5,56.5,383700.0,1382.0,8.4,34.9,13089021209
7399.0,9.1,50.5,49.5,144500.0,1147.0,13.3,52.2,13089023418
2949.0,10.1,53.2,46.8,136400.0,1004.0,13.0,52.1,13089023303
2600.0,7.0,40.5,59.5,412800.0,1309.0,12.0,23.9,13089021502
2859.0,6.9,61.9,38.1,533700.0,595.0,13.7,24.1,13089022500
2324.0,26.3,24.1,75.9,72900.0,691.0,13.8,54.4,13121008601
1364.0,23.0,17.0,83.0,133700.0,925.0,2.7,59.0,13121002500
619.0,5.7,11.3,88.7,179800.0,998.0,8.7,56.3,13121002600
1435.0,9.1,3.0,97.0,114200.0,847.0,6.0,60.9,13121004400
1556.0,19.9,13.8,86.2,143400.0,813.0,5.0,60.3,13121007400
2972.0,12.8,41.1,58.9,98600.0,1035.0,0.7,66.2,13121008201
981.0,21.7,47.9,52.1,61500.0,1072.0,10.6,67.8,13121008202
1749.0,7.4,75.1,24.9,593000.0,1335.0,3.0,51.6,13121010108
4392.0,11.0,41.6,58.4,389600.0,1581.0,14.3,39.0,13121010110
4493.0,8.7,70.3,29.7,225200.0,1163.0,9.3,44.7,13121010303
2789.0,10.0,40.1,59.9,297900.0,1455.0,11.4,39.2,13089021603
2665.0,5.6,53.6,46.4,222900.0,1119.0,5.9,39.1,13089021806
2052.0,0.0,55.6,44.4,312100.0,1311.0,17.6,21.5,13089022302
1256.0,12.2,4.4,95.6,442900.0,1494.0,6.9,61.1,13089022402
1353.0,3.3,79.8,20.2,587600.0,1073.0,2.7,33.2,13089022800
1959.0,5.6,78.7,21.3,127200.0,1397.0,10.7,43.4,13089023209
1412.0,2.3,52.2,47.8,153200.0,1030.0,18.2,43.9,13089023211
4082.0,7.7,45.2,54.8,93900.0,1172.0,5.1,54.0,13089023309
4413.0,7.1,21.6,78.4,131300.0,1068.0,11.5,47.5,13089023310
2554.0,5.7,75.5,24.5,164900.0,868.0,3.4,36.6,13089023414
1237.0,5.3,68.8,31.2,229700.0,1212.0,2.2,34.5,13089023601
2889.0,7.0,88.9,11.1,275500.0,1493.0,20.6,57.4,13089021809
2067.0,9.3,58.8,41.2,117200.0,1066.0,7.7,45.4,13089021906
1845.0,5.1,32.0,68.0,143000.0,908.0,15.8,40.5,13089022005
3378.0,12.1,54.2,45.8,441300.0,1014.0,17.8,31.1,13089022600
2050.0,19.0,60.2,39.8,134500.0,1085.0,17.7,43.3,13089023107
1555.0,17.0,35.5,64.5,94200.0,903.0,5.4,51.1,13089023501
1607.0,9.4,48.1,51.9,113300.0,927.0,8.8,47.4,13089023603
2739.0,10.5,39.1,60.9,212100.0,943.0,10.8,43.3,13089023700
2025.0,13.6,75.9,24.1,235600.0,1259.0,4.0,26.7,13089023801
2910.0,7.4,34.1,65.9,112400.0,1139.0,11.5,61.4,13089023210
2121.0,22.5,34.2,65.8,124500.0,824.0,11.7,58.0,13121006700
1666.0,16.9,55.9,44.1,256900.0,956.0,2.2,27.0,13121006900
1307.0,25.9,44.4,55.6,102300.0,951.0,4.4,34.3,13121007002
1092.0,18.4,36.6,63.4,82100.0,898.0,9.3,56.5,13121007100
1176.0,33.3,45.4,54.6,86100.0,980.0,3.1,73.0,13121008302
4410.0,13.4,26.5,73.5,344600.0,1330.0,11.1,26.6,13121009200
2029.0,7.7,96.8,3.2,615400.0,-666666666.0,0.0,60.8,13121010204
3076.0,7.6,25.8,74.2,120000.0,1179.0,12.3,26.8,13121010209
3696.0,12.9,69.1,30.9,157300.0,1050.0,7.0,52.6,13121010400
2772.0,13.2,36.5,63.5,606200.0,1119.0,4.7,35.5,13121001500
1180.0,55.5,22.5,77.5,78600.0,733.0,7.3,54.6,13121002300
2589.0,6.3,85.7,14.3,371500.0,2153.0,6.1,54.2,13121011419
2518.0,7.9,17.9,82.1,137700.0,1150.0,5.5,43.7,13121011420
1692.0,4.5,25.5,74.5,196400.0,1278.0,13.7,50.3,13121011421
1637.0,2.1,65.9,34.1,332500.0,1252.0,9.0,17.6,13121011422
2019.0,14.1,83.4,16.6,419400.0,1599.0,12.1,39.0,13121011423
2284.0,9.0,81.2,18.8,381300.0,1642.0,11.1,27.1,13121011424
2417.0,3.6,78.6,21.4,658500.0,1707.0,0.0,34.5,13121011425
785.0,1.8,85.0,15.0,487000.0,1649.0,17.0,32.1,13121011426
3148.0,7.8,90.2,9.8,339300.0,1851.0,0.0,52.6,13121011427
3712.0,3.1,94.0,6.0,529000.0,2463.0,7.5,12.1,13121011503
4463.0,2.6,99.2,0.8,663900.0,-666666666.0,100.0,0.0,13121011504
1366.0,5.3,93.4,6.6,469800.0,3169.0,0.0,0.0,13121011505
2197.0,6.6,92.1,7.9,459900.0,2400.0,2.2,18.7,13121011506
2141.0,3.4,77.0,23.0,378400.0,1743.0,31.9,20.1,13121011610
3800.0,9.7,39.3,60.7,242900.0,1425.0,9.6,43.0,13121011611
1255.0,1.8,94.2,5.8,482600.0,1905.0,15.0,23.3,13121011612
2418.0,3.3,68.6,31.4,344800.0,1511.0,1.8,32.2,13121011613
6689.0,6.8,51.1,48.9,260700.0,1341.0,15.2,30.8,13121011614
3850.0,5.7,92.5,7.5,489600.0,1770.0,5.5,63.1,13121011615
3121.0,8.3,37.9,62.1,297200.0,1423.0,1.1,19.0,13121011616
3110.0,9.8,81.3,18.7,412900.0,1730.0,3.0,19.1,13121011617
1670.0,4.1,71.6,28.4,565500.0,1402.0,6.8,25.5,13121011618
3360.0,8.4,39.6,60.4,423700.0,1379.0,5.8,26.8,13121011619
3482.0,2.7,86.6,13.4,417100.0,1782.0,2.8,41.4,13121011620
2625.0,7.2,70.2,29.8,566300.0,1399.0,0.0,38.2,13121011621
3633.0,7.0,84.2,15.8,416300.0,1861.0,3.7,47.2,13121011622
4456.0,1.9,67.1,32.9,395700.0,1631.0,9.4,20.2,13121011623
1241.0,2.9,100.0,0.0,489600.0,-666666666.0,-666666666.0,-666666666.0,13121011624
2805.0,7.0,68.8,31.2,445600.0,1643.0,9.5,28.0,13121011625
3361.0,5.3,60.1,39.9,349200.0,1662.0,5.3,50.1,13121011626
1451.0,36.4,14.7,85.3,-666666666.0,1045.0,18.4,42.1,13121011800
2169.0,15.4,19.2,80.8,173900.0,975.0,6.8,40.7,13121011900
1645.0,15.9,21.2,78.8,135900.0,752.0,13.7,48.1,13121012000
2037.0,19.7,80.7,19.3,122400.0,1203.0,0.0,51.6,13121011301
3393.0,16.6,66.5,33.5,127700.0,1292.0,1.4,47.0,13121010511
4716.0,5.2,55.0,45.0,195300.0,1175.0,23.4,23.7,13121010514
2729.0,5.8,77.3,22.7,456000.0,1370.0,10.4,39.7,13121011410
3206.0,4.8,81.0,19.0,308700.0,1471.0,10.7,60.0,13121011411
3125.0,8.2,51.8,48.2,392900.0,1307.0,13.3,35.7,13121011414
608.0,12.3,18.2,81.8,-666666666.0,547.0,1.6,62.3,13121006802
752.0,30.6,37.9,62.1,162100.0,867.0,10.5,52.4,13121006200
1828.0,20.7,53.6,46.4,150400.0,1221.0,6.1,68.2,13121006500
