pop_total,medhhinc_all,state,county,TractFIPS
9060.0,127957.0,13,089,13089021202
3624.0,38231.0,13,089,13089023505
3987.0,174531.0,13,089,13089022403
4268.0,47012.0,13,089,13089023507
5862.0,56821.0,13,089,13089023803
4476.0,147614.0,13,089,13089020300
2050.0,63313.0,13,089,13089020600
7305.0,31042.0,13,121,13121001002
5206.0,93143.0,13,121,13121001202
2904.0,103846.0,13,121,13121001001
4527.0,80476.0,13,121,13121001201
4565.0,13456.0,13,121,13121007603
2575.0,21863.0,13,121,13121007604
4463.0,44452.0,13,121,13121007703
2949.0,52188.0,13,121,13121012300
0.0,-666666666.0,13,121,13121980000
5878.0,35814.0,13,121,13121007704
4043.0,25906.0,13,121,13121007705
9597.0,45101.0,13,121,13121007706
2250.0,75978.0,13,121,13121008903
5155.0,85517.0,13,121,13121008904
5630.0,79489.0,13,121,13121009101
3344.0,59444.0,13,121,13121009102
5781.0,33732.0,13,121,13121008700
3706.0,185521.0,13,121,13121009501
5268.0,63269.0,13,121,13121009403
4484.0,81004.0,13,121,13121009404
3867.0,86053.0,13,121,13121009502
2631.0,107386.0,13,121,13121009601
5514.0,102778.0,13,121,13121009602
4830.0,83243.0,13,121,13121009603
4746.0,125375.0,13,121,13121009801
4553.0,165583.0,13,121,13121009802
4923.0,108197.0,13,121,13121010001
8716.0,146182.0,13,121,13121010002
5771.0,61583.0,13,121,13121010113
2770.0,127688.0,13,121,13121010115
6849.0,72450.0,13,121,13121010114
4319.0,60731.0,13,121,13121010117
5728.0,55023.0,13,121,13121010118
6351.0,56402.0,13,121,13121010119
2238.0,77500.0,13,121,13121010120
2095.0,90451.0,13,121,13121010121
1755.0,44250.0,13,121,13121006601
4539.0,29528.0,13,121,13121007001
5193.0,109426.0,13,121,13121001100
2345.0,84167.0,13,121,13121001400
4281.0,49486.0,13,121,13121001800
2389.0,111830.0,13,121,13121003200
1254.0,53152.0,13,121,13121003600
2287.0,-666666666.0,13,121,13121006801
5430.0,103385.0,13,121,13121008800
6460.0,40215.0,13,121,13121010512
14560.0,48344.0,13,121,13121010513
3998.0,34508.0,13,121,13121010601
2584.0,36044.0,13,121,13121010604
3683.0,44614.0,13,121,13121011202
3339.0,84107.0,13,121,13121000700
4421.0,76188.0,13,121,13121001300
4283.0,20625.0,13,121,13121003800
2705.0,32417.0,13,121,13121004000
2477.0,18913.0,13,121,13121004200
2835.0,84655.0,13,121,13121004900
5231.0,33165.0,13,121,13121002800
988.0,19612.0,13,121,13121004800
3861.0,102303.0,13,121,13121005300
1664.0,44878.0,13,121,13121008101
15147.0,48051.0,13,121,13121010510
5219.0,90140.0,13,121,13121000500
2237.0,78182.0,13,121,13121001600
2051.0,62250.0,13,121,13121003100
2547.0,37647.0,13,121,13121005501
3237.0,159306.0,13,089,13089021604
6006.0,42305.0,13,089,13089021910
3509.0,164926.0,13,089,13089021912
4450.0,32983.0,13,089,13089021913
5572.0,41042.0,13,089,13089022009
2424.0,59583.0,13,089,13089022010
2130.0,66731.0,13,089,13089022203
8242.0,68523.0,13,089,13089022204
2263.0,62969.0,13,089,13089023111
4877.0,29786.0,13,089,13089023112
2780.0,40542.0,13,089,13089023113
2901.0,51105.0,13,089,13089023114
3759.0,85417.0,13,089,13089021602
6045.0,105033.0,13,089,13089021704
4879.0,42679.0,13,089,13089021705
4559.0,66638.0,13,089,13089022001
4098.0,39216.0,13,089,13089022007
3873.0,110775.0,13,089,13089022401
3689.0,44135.0,13,089,13089022100
1493.0,25170.0,13,121,13121005700
3722.0,38708.0,13,121,13121006000
1248.0,25375.0,13,121,13121006602
5413.0,136324.0,13,089,13089022700
7514.0,56263.0,13,089,13089023204
6465.0,45924.0,13,089,13089023506
6008.0,52180.0,13,089,13089023412
7054.0,59340.0,13,089,13089023416
3161.0,65694.0,13,089,13089020500
5927.0,71618.0,13,089,13089020900
2634.0,95417.0,13,089,13089020700
3002.0,28242.0,13,089,13089021204
3526.0,154063.0,13,089,13089021213
7536.0,76066.0,13,089,13089021805
5754.0,53341.0,13,089,13089022004
7666.0,41216.0,13,089,13089023208
3608.0,60033.0,13,089,13089023212
3238.0,35611.0,13,089,13089023504
2299.0,43100.0,13,089,13089023602
1997.0,170096.0,13,089,13089020100
3817.0,46667.0,13,089,13089021301
7675.0,74544.0,13,089,13089023306
8127.0,43190.0,13,089,13089023206
3965.0,42606.0,13,089,13089023411
4104.0,70811.0,13,089,13089023413
4533.0,44676.0,13,089,13089023802
4237.0,74922.0,13,089,13089021208
