race_pc_white,race_pc_black,race_pc_asian,race_pc_hispanic,pov_total,snaphh_total,medicaid_pc_covered,TractFIPS
89.4,6.6,2.1,3.4,141.0,2052.0,1.7,13121011506
78.9,15.2,4.5,4.7,61.0,2069.0,5.8,13121011610
63.6,20.6,8.2,21.5,349.0,3433.0,9.3,13121011611
71.4,7.0,19.8,7.6,152.0,1233.0,4.4,13121011612
53.1,16.6,27.7,8.3,754.0,2339.0,4.7,13121011613
47.9,23.0,25.8,12.4,1200.0,6233.0,10.3,13121011614
75.0,8.6,12.4,5.8,235.0,3631.0,3.1,13121011615
52.9,14.9,29.0,7.5,446.0,2862.0,3.6,13121011616
70.6,4.7,18.7,12.1,274.0,2806.0,3.1,13121011617
56.4,13.6,28.4,3.4,165.0,1602.0,4.0,13121011618
47.9,14.1,33.4,7.7,289.0,3077.0,5.2,13121011619
59.5,11.3,23.2,7.7,455.0,3387.0,3.4,13121011620
62.7,5.4,24.8,9.8,599.0,2436.0,3.1,13121011621
36.8,12.9,46.0,4.5,435.0,3379.0,6.9,13121011622
47.0,10.9,37.4,4.4,156.0,4370.0,4.4,13121011623
58.0,11.7,25.0,4.7,55.0,1205.0,1.5,13121011624
58.6,9.9,25.4,5.5,218.0,2610.0,3.5,13121011625
56.1,12.2,27.4,7.8,616.0,3184.0,11.9,13121011626
17.1,74.2,4.2,5.9,426.0,923.0,15.9,13121011800
35.4,59.9,2.3,5.5,1041.0,1835.0,19.1,13121011900
11.8,83.4,0.0,4.5,1394.0,1383.0,38.8,13121012000
14.0,75.4,2.7,13.0,1070.0,1636.0,12.9,13121011301
4.9,93.0,0.4,0.0,1175.0,2830.0,19.6,13121010511
11.9,86.3,0.0,4.8,1512.0,4473.0,15.5,13121010514
75.7,13.8,2.2,9.8,250.0,2572.0,2.7,13121011410
72.2,18.4,3.0,10.5,700.0,3052.0,8.1,13121011411
57.3,24.6,9.1,12.9,688.0,2870.0,12.7,13121011414
1.9,95.0,0.0,1.4,1803.0,533.0,71.1,13121006802
2.4,96.5,0.0,0.0,423.0,522.0,35.5,13121006200
20.5,75.0,1.9,0.2,928.0,1449.0,29.9,13121006500
3.3,91.4,1.8,1.1,1628.0,2311.0,17.8,13089023213
1.7,97.4,0.2,0.7,1124.0,2396.0,21.0,13089023214
9.9,80.6,0.3,5.4,2.0,0.0,50.0,13089023115
3.2,91.1,0.0,4.9,552.0,1546.0,21.4,13089023311
5.0,91.7,0.9,1.9,694.0,3543.0,18.3,13089023312
2.2,93.2,1.0,3.6,517.0,1647.0,26.7,13089023313
5.0,93.3,0.0,5.0,903.0,2214.0,15.4,13089023314
41.0,48.9,2.5,4.1,816.0,1736.0,21.5,13089020802
80.8,11.2,4.4,4.6,207.0,1764.0,3.4,13089021703
55.8,20.2,5.5,23.8,683.0,1634.0,18.7,13089021808
8.8,74.3,8.4,2.2,1510.0,2022.0,33.3,13089021908
14.2,84.5,0.1,2.4,2504.0,2694.0,34.6,13089021909
78.2,14.2,5.0,3.7,114.0,3355.0,3.9,13089021202
4.8,89.5,0.2,2.6,825.0,1093.0,23.4,13089023505
89.2,3.2,5.3,1.7,145.0,1450.0,0.4,13089022403
0.5,92.5,0.0,3.6,560.0,1522.0,21.5,13089023507
18.2,77.8,1.5,1.2,736.0,2035.0,15.0,13089023803
89.2,3.8,0.8,3.3,366.0,1675.0,1.7,13089020300
41.4,48.7,1.7,6.3,630.0,963.0,24.0,13089020600
45.8,25.9,22.3,7.2,414.0,516.0,0.6,13121001002
71.7,14.4,7.3,7.5,365.0,3412.0,0.4,13121001202
56.9,13.3,22.8,5.8,328.0,1020.0,1.1,13121001001
74.7,13.6,6.8,3.4,396.0,2888.0,6.0,13121001201
1.1,96.6,1.1,1.4,2258.0,2214.0,51.8,13121007603
6.2,87.0,1.4,8.8,1202.0,1034.0,32.9,13121007604
1.6,95.8,0.0,0.0,877.0,1601.0,19.4,13121007703
35.7,46.0,3.4,11.4,549.0,1058.0,23.7,13121012300
-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,-666666666.0,13121980000
39.8,33.8,3.9,37.9,210.0,876.0,11.4,13121008903
2.2,96.8,0.0,0.2,1766.0,2058.0,31.0,13121007704
2.2,96.6,0.0,0.2,1242.0,1772.0,29.7,13121007705
2.1,95.2,0.4,0.4,2291.0,4343.0,26.8,13121007706
80.8,10.4,4.4,3.0,202.0,2577.0,4.7,13121008904
68.8,16.7,7.4,4.0,731.0,3463.0,6.0,13121009101
65.0,18.2,8.3,6.1,294.0,1904.0,2.4,13121009102
13.9,86.0,0.0,3.3,1419.0,2562.0,28.3,13121008700
96.7,1.4,1.2,1.0,130.0,1733.0,2.2,13121009501
46.7,28.5,10.0,12.1,931.0,3032.0,9.1,13121009403
66.4,16.0,14.1,3.4,421.0,2383.0,5.5,13121009404
67.9,20.6,7.8,3.8,417.0,2254.0,5.5,13121009502
83.5,6.9,5.2,5.9,135.0,1407.0,2.7,13121009601
75.7,14.8,5.0,3.2,424.0,3112.0,2.7,13121009602
73.7,15.5,4.7,6.5,497.0,3071.0,3.4,13121009603
89.2,8.1,2.7,4.7,135.0,2106.0,2.5,13121009801
80.2,5.8,12.3,1.2,150.0,1835.0,1.5,13121009802
74.6,12.9,10.2,2.0,338.0,2487.0,4.1,13121010001
85.1,5.9,7.8,3.0,362.0,4013.0,2.3,13121010002
47.0,25.7,8.4,32.1,424.0,2894.0,10.0,13121010113
78.8,14.8,4.2,2.0,94.0,1205.0,3.7,13121010115
74.9,15.5,1.2,18.6,353.0,3137.0,6.5,13121010114
39.4,46.5,9.2,12.9,408.0,1962.0,5.5,13121010117
62.4,25.0,5.4,28.7,654.0,2164.0,19.7,13121010118
39.9,47.0,2.9,17.6,1333.0,2408.0,20.0,13121010119
71.4,19.2,6.1,10.0,181.0,1122.0,4.7,13121010120
83.8,8.7,5.8,2.1,113.0,1183.0,3.2,13121010121
19.0,77.2,1.3,1.0,473.0,699.0,27.9,13121006601
2.6,92.5,0.0,7.5,1775.0,1439.0,52.0,13121007001
78.2,5.8,9.4,5.1,326.0,3432.0,4.6,13121001100
86.5,3.5,3.8,2.7,85.0,1408.0,0.7,13121001400
51.4,37.5,7.5,5.3,962.0,3077.0,20.7,13121001800
83.1,7.5,1.5,10.1,37.0,1277.0,2.6,13121003200
10.8,77.6,1.4,1.3,400.0,858.0,7.3,13121003600
25.1,61.7,0.0,15.0,0.0,0.0,-666666666.0,13121006801
65.2,23.6,2.6,8.7,406.0,1961.0,8.7,13121008800
4.7,86.9,0.0,5.0,1386.0,2356.0,28.1,13121010512
10.2,76.6,0.0,18.3,2571.0,4846.0,36.7,13121010513
24.3,72.4,0.8,3.6,1785.0,1581.0,45.4,13121010601
8.7,86.9,0.9,6.6,526.0,1301.0,22.7,13121010604
31.8,61.8,0.8,8.8,842.0,1583.0,24.1,13121011202
29.5,61.9,1.1,7.8,128.0,347.0,12.5,13121000700
67.0,23.0,5.6,6.0,745.0,2199.0,12.9,13121001300
17.7,69.7,7.9,3.9,180.0,230.0,5.7,13121003800
6.2,91.2,0.7,3.5,844.0,1010.0,36.4,13121004000
8.7,91.3,0.0,2.6,1055.0,1456.0,33.8,13121004200
54.0,39.0,2.2,4.7,699.0,1108.0,22.1,13121004900
32.7,56.4,5.7,5.2,759.0,1453.0,8.9,13121002800
17.5,73.8,5.8,4.9,498.0,563.0,35.8,13121004800
66.3,27.7,1.1,5.7,419.0,1675.0,7.0,13121005300
0.0,99.8,0.0,0.0,178.0,502.0,33.7,13121008101
14.5,84.4,0.2,5.6,2213.0,6420.0,21.9,13121010510
66.3,20.1,7.3,5.5,549.0,2843.0,7.1,13121000500
84.8,5.7,7.2,3.8,110.0,1294.0,5.2,13121001600
69.8,27.8,0.1,5.0,215.0,931.0,7.0,13121003100
22.6,71.6,2.1,6.9,940.0,978.0,26.1,13121005501
64.3,25.0,5.2,2.7,182.0,1447.0,4.3,13089021912
85.3,2.9,9.5,1.3,96.0,1261.0,4.2,13089021604
16.1,75.0,8.0,4.5,1002.0,2199.0,21.2,13089021910
17.9,77.7,0.0,5.9,1396.0,1977.0,28.8,13089021913
6.6,83.3,8.4,3.1,2129.0,1831.0,39.7,13089022009
22.5,39.0,32.0,3.8,484.0,652.0,28.2,13089022010
53.4,26.9,15.1,3.5,342.0,1170.0,5.1,13089022203
45.7,21.9,27.4,20.5,1335.0,2809.0,13.4,13089022204
12.0,83.9,0.3,0.4,313.0,675.0,15.0,13089023111
4.7,86.4,1.1,5.1,1486.0,2072.0,34.7,13089023112
32.5,60.2,2.2,2.2,666.0,1273.0,19.4,13089023113
21.1,69.9,3.0,4.5,810.0,840.0,29.7,13089023114
81.0,6.1,7.7,3.3,264.0,1858.0,7.3,13089021602
73.0,16.0,7.7,6.9,472.0,2245.0,7.4,13089021704
56.1,20.6,13.1,18.1,1083.0,2117.0,10.4,13089021705
72.5,20.9,4.0,8.0,489.0,1968.0,11.1,13089022001
9.3,50.1,37.0,2.5,1323.0,1104.0,33.8,13089022007
84.1,5.8,6.9,7.3,368.0,1847.0,3.2,13089022401
23.1,65.0,7.7,5.2,867.0,1475.0,29.5,13089022100
3.8,92.5,0.4,1.1,387.0,657.0,27.8,13121005700
8.1,89.0,1.2,2.1,586.0,1509.0,30.0,13121006000
0.2,98.6,0.0,0.1,506.0,465.0,38.5,13121006602
2.4,94.2,1.2,0.9,728.0,2087.0,23.2,13089023412
70.1,21.2,1.9,4.9,209.0,1730.0,3.8,13089022700
10.2,77.3,9.1,3.0,1272.0,2249.0,24.6,13089023204
6.2,90.5,0.0,0.2,1100.0,2099.0,25.1,13089023506
3.3,94.3,0.0,2.6,1037.0,2452.0,19.0,13089023416
49.5,39.5,3.0,6.6,499.0,1513.0,8.8,13089020500
52.3,41.6,4.0,2.5,407.0,2742.0,8.9,13089020900
65.5,31.3,1.3,2.1,246.0,1058.0,11.0,13089020700
39.1,3.5,4.3,88.3,1164.0,780.0,31.9,13089021204
90.6,1.9,4.1,3.9,30.0,1205.0,3.2,13089021213
49.9,37.3,7.9,16.0,402.0,2605.0,10.7,13089021805
12.1,60.4,25.1,2.2,578.0,1597.0,21.9,13089022004
3.6,88.2,1.3,6.1,1619.0,2394.0,39.6,13089023208
2.6,93.6,1.1,4.6,525.0,1369.0,24.4,13089023212
7.1,89.3,0.0,0.7,763.0,1304.0,41.4,13089023504
9.0,88.0,0.2,0.8,575.0,822.0,25.3,13089023602
91.8,2.0,2.3,7.9,119.0,737.0,3.3,13089020100
44.5,25.4,12.3,30.4,860.0,1720.0,16.0,13089021301
2.7,92.4,0.6,0.9,1134.0,2502.0,16.5,13089023306
12.3,83.6,2.9,3.7,1663.0,2841.0,33.2,13089023206
3.7,95.5,0.8,1.5,579.0,1480.0,25.4,13089023411
4.9,92.7,0.0,0.5,318.0,1327.0,7.8,13089023413
25.9,67.7,0.0,5.5,1305.0,1356.0,29.9,13089023802
67.8,10.5,15.1,3.9,568.0,1942.0,7.0,13089021208
